
+-----------+--------------------------+------------------+----------------+----------------+----------------+---+
|        Id | Apellidos                | Nombre           |     Sal. bruto |    Deducciones |      Sal. neto | * |
+-----------+--------------------------+------------------+----------------+----------------+----------------+---+
| 859357380 | Agüero Vargas            | Abigaíl          |     800,000.00 |      72,000.00 |     728,000.00 | * |
| 941705352 | Aguilar Campos           | Juan             |   2,350,000.00 |     281,500.00 |   2,068,500.00 |   |
| 897508546 | Aguilar Muñoz            | Alvaro           |   2,425,000.00 |     292,000.00 |   2,133,000.00 |   |
| 422996070 | Alfaro López             | Tanya            |   1,350,000.00 |     141,500.00 |   1,208,500.00 | * |
| 138618383 | Alpízar Valverde         | Esteban          |   2,425,000.00 |     292,000.00 |   2,133,000.00 |   |
| 379978368 | Álvarez Alfaro           | Adriana          |     875,000.00 |      78,750.00 |     796,250.00 | * |
| 263544120 | Álvarez Araya            | Daniel           |   2,350,000.00 |     281,500.00 |   2,068,500.00 |   |
| 153874883 | Álvarez Mora             | Pablo            |   1,525,000.00 |     166,000.00 |   1,359,000.00 |   |
| 633878020 | Álvarez Rodríguez        | Víctor           |   1,375,000.00 |     145,000.00 |   1,230,000.00 | * |
| 815907966 | Amador Fuentes           | Roberto          |   1,825,000.00 |     208,000.00 |   1,617,000.00 |   |
| 821813113 | Araya Madrigal           | Tanya            |   1,275,000.00 |     131,000.00 |   1,144,000.00 | * |
| 326667169 | Arce Campos              | Ariana           |   2,400,000.00 |     288,500.00 |   2,111,500.00 |   |
| 397767739 | Arce González            | Gilberto         |   1,300,000.00 |     134,500.00 |   1,165,500.00 | * |
| 553026467 | Arce Hidalgo             | María            |   1,675,000.00 |     187,000.00 |   1,488,000.00 |   |
| 298039286 | Arce Villalobos          | Sebastián        |   2,075,000.00 |     243,000.00 |   1,832,000.00 |   |
| 616966080 | Arguedas Rivas           | Carolina         |   1,525,000.00 |     166,000.00 |   1,359,000.00 |   |
| 554179636 | Arias Venegas            | Pamela           |   1,300,000.00 |     134,500.00 |   1,165,500.00 | * |
| 848339438 | Arias Víquez             | Camila           |   1,375,000.00 |     145,000.00 |   1,230,000.00 | * |
| 652979016 | Avilés Vincenzi          | Carolina         |   2,475,000.00 |     299,000.00 |   2,176,000.00 |   |
| 628543619 | Barahona López           | Juan             |   2,475,000.00 |     299,000.00 |   2,176,000.00 |   |
| 978059614 | Barahona Rodríguez       | Débora           |   2,475,000.00 |     299,000.00 |   2,176,000.00 |   |
| 982965795 | Barboza Cascante         | Sebastián        |   2,250,000.00 |     267,500.00 |   1,982,500.00 |   |
| 284369247 | Barboza Rodríguez        | Josué            |   1,475,000.00 |     159,000.00 |   1,316,000.00 |   |
| 443754542 | Barquero Agüero          | Jorge            |   1,350,000.00 |     141,500.00 |   1,208,500.00 | * |
| 744954427 | Barrantes González       | Andrea           |   1,775,000.00 |     201,000.00 |   1,574,000.00 |   |
| 243857373 | Barrantes Herrera        | María            |   2,500,000.00 |     302,500.00 |   2,197,500.00 |   |
| 533613152 | Barrantes Montes         | Benjamín         |   2,025,000.00 |     236,000.00 |   1,789,000.00 |   |
| 930699725 | Barrantes Muñoz          | Isaac            |   1,600,000.00 |     176,500.00 |   1,423,500.00 |   |
| 692428746 | Barrantes Pérez          | Daniel           |   1,150,000.00 |     113,500.00 |   1,036,500.00 | * |
| 160722676 | Barrientos Romero        | Eduardo          |   1,125,000.00 |     110,000.00 |   1,015,000.00 | * |
| 380589022 | Benavides Alvarado       | Daniela          |   1,750,000.00 |     197,500.00 |   1,552,500.00 |   |
| 968241944 | Blanco Bolaños           | Humberto         |   2,375,000.00 |     285,000.00 |   2,090,000.00 |   |
| 651776869 | Bonilla Rodríguez        | Eduardo          |     600,000.00 |      54,000.00 |     546,000.00 | * |
| 651167802 | Brenes Hernández         | Gabriel          |   1,625,000.00 |     180,000.00 |   1,445,000.00 |   |
